index,biome,split
0001,plain,train
0002,plain,test
0003,plain,train
0004,plain,train
0005,plain,train
0006,plain,val
0007,plain,val
0008,plain,test
0009,plain,val
0010,plain,train
0011,plain,train
0012,plain,train
0013,plain,train
0014,plain,train
0015,plain,val
0016,plain,test
0017,plain,train
0018,plain,test
0019,plain,train
0020,plain,train
0021,plain,train
0022,plain,train
0023,plain,train
0024,plain,train
0025,plain,train
0026,plain,train
0027,plain,train
0028,plain,train
0029,plain,train
0030,plain,train
0031,plain,train
0032,plain,train
0033,plain,train
0034,plain,train
0035,plain,train
0036,plain,train
0037,plain,train
0038,plain,train
0039,plain,train
0040,plain,train
0041,snow plain,train
0042,snow plain,train
0043,snow plain,test
0044,snow plain,train
0045,snow plain,train
0046,snow plain,train
0047,snow plain,train
0048,snow plain,val
0049,snow plain,train
0050,snow plain,train
0051,snow plain,train
0052,snow plain,train
0053,snow plain,train
0054,snow plain,train
0055,snow plain,train
0056,snow plain,train
0057,snow plain,test
0058,snow plain,train
0059,snow plain,train
0060,snow plain,train
0061,snow plain,train
0062,snow plain,train
0063,snow plain,test
0064,snow plain,train
0065,snow plain,val
0066,snow plain,train
0067,snow plain,train
0068,snow plain,train
0069,snow plain,train
0070,snow plain,val
0071,snow plain,train
0072,snow plain,train
0073,snow plain,train
0074,snow plain,train
0075,snow plain,val
0076,snow plain,train
0077,snow plain,train
0078,snow plain,train
0079,snow plain,train
0080,snow plain,test
0081,mushroom fields,train
0082,mushroom fields,train
0083,mushroom fields,train
0084,mushroom fields,train
0085,mushroom fields,train
0086,mushroom fields,train
0087,mushroom fields,train
0088,mushroom fields,train
0089,mushroom fields,train
0090,mushroom fields,train
0091,mushroom fields,test
0092,mushroom fields,train
0093,mushroom fields,train
0094,mushroom fields,train
0095,mushroom fields,val
0096,mushroom fields,test
0097,mushroom fields,train
0098,mushroom fields,val
0099,mushroom fields,train
0100,mushroom fields,train
0101,mushroom fields,val
0102,mushroom fields,train
0103,mushroom fields,train
0104,mushroom fields,train
0105,mushroom fields,val
0106,mushroom fields,train
0107,mushroom fields,train
0108,mushroom fields,train
0109,mushroom fields,train
0110,mushroom fields,test
0111,mushroom fields,train
0112,mushroom fields,train
0113,mushroom fields,train
0114,mushroom fields,train
0115,mushroom fields,test
0116,mushroom fields,train
0117,mushroom fields,train
0118,mushroom fields,train
0119,mushroom fields,train
0120,mushroom fields,train
0121,savanna,train
0122,savanna,train
0123,savanna,train
0124,savanna,test
0125,savanna,val
0126,savanna,test
0127,savanna,train
0128,savanna,test
0129,savanna,train
0130,savanna,test
0131,savanna,val
0132,savanna,train
0133,savanna,train
0134,savanna,train
0135,savanna,train
0136,savanna,train
0137,savanna,train
0138,savanna,train
0139,savanna,train
0140,savanna,train
0141,savanna,train
